id,total_count
2058621_Ag_EU_LoCloud_NRA,2910176
9200365_Ag_EU_TEL_a0142_Gallica,1191745
9200359_Ag_EU_TEL_a0601_Newspapers_Netherlands,747773
9200479_NLPoland,644682
9200384_Ag_EU_TEL_a0613_Newspapers_ONB,629498
401_Muuseumid,613372
11614_Royal_Botanic_Gardens_Kew,595140
2048087_Ag_EU_AthenaPlus_CollectionsTrust,584554
2020702_Ag_EU_CARARE_SNHB,547566
2058632_Ag_EU_LoCloud_RCE,526228
2048212_EuropeanaFashion_1020,524717
2048128_Ag_HU_MaNDA_OAI,523029
2058618_Ag_EU_LoCloud_KUAS,518786
03915_Ag_FR_MCC_MEMOIRE_SAP_IMAGE,510877
11650_Ag_EU_OpenUp!_BATCH7:NBCNL_DWCA,499800
11654_Ag_EU_OpenUp!_BATCH3:NBCNL_DWCA,499792
11652_Ag_EU_OpenUp!_BATCH5:NBCNL_DWCA,499400
11651_Ag_EU_OpenUp!_BATCH6:NBCNL_DWCA,499300
11648_Ag_EU_OpenUp!_BATCH9:NBCNL_DWCA,496229
9200302_Ag_EU_TEL_a0597_Newspapers_Spain,480808
794_Ag_BnF_Gallica_typedoc_monographies_v2,459676
9200401_Ag_EU_TEL_ a0026_KB_NL,454678
2021010_Ag_FI_NDL_sanoma,450118
9200408_Ag_EU_TEL_a0599_NewspapersGallica,426943
368_DDB_BSB2,399801
362_DDB_BSB1,399766
358_DDB_BSB,399747
335_CZ_DigitalLibrary_periodical,398784
318_Ag_JHN_NationalLibraryIsrael,395977
2021803_Ag_LT_SNL_documents_and_manuscripts,395577
11649_Ag_EU_OpenUp!_BATCH8:NBCNL_DWCA,389598
08602_EFG_Instituto_Luce_Cinecitta,372187
9200332_NL_ONB_Austrian_Books_Online,361972
726_Ag_ES_Hispana_esebvph_2,359493
725_Ag_ES_Hispana_esebvph_1,351661
866_Hispana_BibliotecaVirtualdePrensaHistorica_esebvph2,351572
437_DDB_SLUB_1,349996
440_DDB_SLUB_2,349989
188_DDB_SLUB_0,349987
90402_M_NL_Rijksmuseum,337641
9200343_Ag_EU_TEL_a1218_eCloud_NL_Denmark,336741
11647_Ag_EU_OpenUp!_BATCH10:NBCNL_DWCA,335966
11653_Ag_EU_OpenUp!_BATCH4:NBCNL_DWCA,320709
